default_profile,default_profile_image,favourites_count,followers_count,friends_count,geo_enabled,verified,average_tweets_per_day,account_age_days,account_type
False,False,1115,2015401,14905,False,True,103.295,4215,bot
True,False,2747,223,624,False,False,1.338,4072,bot
True,False,114220,492,856,True,False,40.064,2673,human
False,False,344286,1662199,924,True,True,14.649,5151,human
True,False,343,3,0,False,False,0.134,4149,bot
False,False,148,168610,85,True,False,2.746,3118,human
False,False,8536,152,659,False,False,1.43,2883,human
False,False,11,56,0,True,False,0.077,3322,human
False,False,12742,1151962,2597,True,True,4.206,3792,human
True,False,12587,73307,2850,True,True,11.367,3837,human
False,False,1864,96,267,False,False,0.927,3847,human
False,False,1701,731524,302,True,True,2.496,2883,human
False,False,20877,8,265,False,False,0.234,3446,bot
False,False,2526,7,330,True,False,0.837,3777,bot
False,False,13644,792,290,True,False,7.279,2566,human
False,False,7386,306,446,True,False,6.157,4043,human
False,False,601,27613,104,False,True,4.137,3846,human
False,False,3489,71,312,False,False,0.857,2185,human
True,False,1951,6,43,False,False,0.892,2953,bot
True,False,666,28,40,False,False,0.307,2961,bot
False,False,1876,43,0,False,False,1.079,2595,bot
False,False,2314,49,87,True,False,0.926,3491,bot
False,False,428,173010,344,True,True,1.724,2912,human
True,False,17019,96,145,False,False,0.541,2553,human
True,False,799,16,12,False,False,0.265,4415,bot
True,False,46919,271,346,False,False,6.61,2944,human
False,False,46961,310,420,True,False,5.972,1859,human
False,False,14392,210561,6801,True,True,6.125,4208,human
False,False,29970,1835,2570,True,False,16.766,3909,human
False,False,322,121,101,True,False,5.882,3938,human
False,False,2175,6154982,334,True,True,9.9,4029,human
False,False,2006,31,85,False,False,0.646,4145,human
True,False,9677,24,81,False,False,1.111,1122,human
True,True,34,0,0,False,False,0.011,3425,bot
False,False,62208,1672,389,True,False,46.576,3465,human
True,False,49,31,142,True,False,1.22,1667,human
True,False,28461,512,355,True,False,18.055,2393,human
False,False,1105,57038,613,False,True,74.367,2250,human
True,False,37745,96,383,False,False,0.456,2538,human
False,False,3146,1032551,0,True,False,0.022,4083,human
True,False,1053,40,592,False,False,1.028,1200,bot
False,False,20442,1630092,4946,True,True,16.385,4205,bot
False,False,19,272796,95,False,False,2.52,4202,bot
True,True,1125,18,0,False,False,0.122,2557,human
False,False,7531,384,226,True,False,14.266,2909,human
False,False,1418,29739,545,True,False,0.559,3549,human
False,False,2784,1318800,20,True,True,0.936,4267,human
False,False,179,48,104,False,False,0.3,4152,human
False,False,179,3508,150,False,True,0.173,2838,human
True,False,27066,620,870,True,False,15.171,1977,human
False,False,1651,1599,544,False,False,0.228,3239,human
True,True,10,1,497,False,False,0.062,3552,human
True,False,2196,143,381,True,False,0.65,2910,human
False,False,6327,18136,3,True,True,0.195,3125,human
False,False,2472,3,44,False,False,0.764,4115,bot
False,False,4901,1595,1249,True,True,2.728,2535,human
False,False,1149,20126,264,True,True,0.66,3925,human
False,False,6986,2605,628,True,True,2.378,4135,human
True,False,1353,426,583,True,False,1.344,2800,human
True,False,20,79,31,False,False,1.961,4107,bot
True,False,990,20,135,False,False,0.285,4137,bot
True,False,547,13,0,False,False,0.234,3204,bot
False,False,94,606,106,True,False,0.289,4174,human
True,False,1883,74,40,False,False,0.705,722,human
False,False,3061,279,459,True,False,0.368,4175,human
False,False,1862,221,121,False,False,0.869,4085,human
True,False,129,8,0,False,False,0.008,3672,bot
False,False,112640,3652,1131,True,True,7.817,4256,human
False,False,14811,311,323,True,False,6.927,2874,bot
True,False,2289,32,168,True,False,1.087,2878,bot
True,False,179,5,0,False,False,0.009,3105,bot
False,False,1139,2,42,True,False,0.601,2906,bot
True,False,2359,23,69,False,False,0.959,3818,bot
True,False,19868,83404,91815,False,False,16.622,3370,bot
False,False,1950,48,126,True,False,0.887,3312,bot
False,False,2771,198654,1114,False,False,10.838,4855,human
True,False,8433,797,844,False,False,52.131,3157,bot
False,False,405,130,215,False,False,0.193,797,human
True,False,1250,25,0,False,False,0.543,3596,bot
False,False,6832,2313068,647,False,True,0.687,4121,human
False,False,17654,24444,1573,True,True,2.419,3787,human
False,False,1813,720,435,False,False,2.159,1099,human
True,False,1786,49,247,True,False,0.2,2367,bot
False,False,340,28,407,False,False,0.044,3675,bot
False,False,140,1492643,84,True,True,3.81,3977,human
False,False,3032,24,412,False,False,0.21,1452,bot
False,False,1047,837019,25,False,True,0.681,3975,human
True,False,1332,10,36,False,False,0.913,1463,bot
False,False,80,23247,18817,False,False,3.873,2696,human
True,False,35315,1033,890,True,False,14.804,2890,human
True,False,845,18,27,False,False,0.338,4150,human
True,False,25,0,0,False,False,0.171,1155,bot
True,False,1074,104,278,True,False,2.223,2796,human
False,False,12236,350,255,True,False,5.352,2823,human
False,False,3107,1032,1573,True,False,9.602,4102,human
False,False,41497,707,956,False,False,28.187,2051,human
False,False,22,205,516,False,False,1.245,3948,human
False,False,13140,4625,1232,True,False,1.302,3103,human
False,False,6102,1147,33,True,False,0.919,3212,bot
True,False,54,1593317,79,False,True,3.973,3348,human
False,False,351025,178326,8184,True,True,78.681,2865,human
True,False,1928,111,282,True,False,0.232,4153,human
False,False,205,429,1609,True,False,11.014,3217,human
True,False,374,37,29,False,False,0.049,1731,bot
True,False,15,1,0,False,False,0.14,1155,bot
False,False,13688,3652,4984,True,False,6.892,4893,human
False,False,757,75,285,False,False,0.394,3329,human
False,False,1210,13,37,True,False,0.535,2830,bot
True,False,4367,240,189,True,False,5.107,2039,bot
False,False,10,744733,10,False,False,4.171,3167,human
False,False,7717,148171,3007,False,True,4.474,4160,human
True,False,792,18800,7283,True,False,8.039,2858,human
False,False,14443,48,303,True,False,1.443,3299,human
True,False,2378,41,341,True,False,0.906,3810,bot
False,False,296,1155477,557,True,True,0.57,4092,human
False,False,3465,194,339,False,False,0.284,2318,human
False,False,159,1119498,1439,False,True,5.945,4538,human
False,False,15559,19985,1098,True,False,1.382,4487,human
False,False,21,8,91,False,False,0.029,901,human
True,False,367,336,127,False,False,1.436,864,human
True,False,16916,467,320,False,False,12.868,1260,human
False,False,26640,11630,11668,False,False,25.477,3346,human
False,False,9875,2126,2067,True,True,6.155,4191,human
False,False,2362,424,0,True,False,2.379,3375,bot
False,False,14909,52874,23130,True,False,5.281,3122,human
True,False,1332,15,28,False,False,0.91,1463,bot
False,False,16113,232638,4044,True,True,10.822,4073,human
False,False,9620,226230,1500,True,True,6.271,4359,human
False,False,13744,372,277,True,False,7.19,2889,human
False,False,3589,109,0,True,False,2.582,2760,bot
False,False,3757,3800,1017,True,True,4.651,4121,human
False,False,20348,264,1137,False,False,0.95,3565,human
True,False,92466,185,214,False,False,12.912,2382,bot
False,False,117,4072365,16,False,True,1.313,3989,human
True,False,63716,1477,3773,True,False,4.537,2213,human
True,False,1260,6,198,False,False,0.556,3654,bot
False,False,3257,53547,258,True,True,9.11,2329,human
True,False,1,171,270,False,False,1.057,1985,bot
False,False,68230,5140,245,True,False,30.89,2760,human
False,False,221,449106,1111,True,True,1.086,3674,human
False,False,16893,1290,862,True,False,5.907,3379,human
False,False,1494,292,633,True,False,1.151,3990,human
False,False,5030,748,830,True,False,1.661,2588,human
False,False,57613,178618,5021,True,True,26.364,3281,human
True,False,585,64,70,False,False,0.3,2543,bot
True,False,3123,338,986,True,False,1.226,2318,human
True,False,1429,3,0,False,False,0.708,3031,bot
True,False,6493,236,1109,True,False,4.052,2872,bot
True,True,3,11,2055,False,False,0.004,1954,bot
True,False,54,0,0,False,False,0.085,1444,human
False,False,2411,117,193,True,False,0.515,3351,human
True,False,29,0,37,False,False,0.19,1271,bot
False,False,4922,438,357,True,False,2.689,2539,human
False,False,3006,284,358,True,False,6.074,3335,bot
True,False,120,1,0,False,False,0.214,1118,human
False,False,162711,434,326,False,False,15.791,3561,human
True,False,28751,200,314,True,False,1.495,1649,human
True,False,319,0,0,False,False,0.585,1107,human
False,False,0,15,49,False,False,0.845,2565,bot
True,False,6,344912,894,True,False,0.286,4157,human
True,False,2,156882,33,False,False,0.038,3568,human
False,False,2080,82,150,False,False,0.823,3494,bot
True,False,38,26,7,False,False,2.924,1807,bot
False,False,4902,9175,4701,True,True,3.195,4267,human
True,False,1393,7636,3732,False,False,1.585,3355,human
True,False,253,18,233,False,False,0.019,2824,bot
True,False,1466,40,99,True,False,0.662,3394,bot
False,False,3501,162,227,True,False,0.603,3126,human
True,False,5045,182,388,True,False,1.655,4080,human
False,False,55411,349,350,True,False,3.03,3301,human
False,False,1879,4223,1204,True,True,2.515,2780,human
False,False,3135,60,208,False,False,0.789,4133,human
False,False,1022,72,224,True,False,0.245,4732,human
False,False,1953,2631,2316,True,False,2.338,3373,human
False,False,9245,1981,1491,True,False,1.053,3561,human
False,False,22,223,2,False,False,11.986,1153,bot
True,False,349,21,0,False,False,0.026,2335,bot
True,False,1110,888158,729,False,False,20.324,3151,bot
False,False,0,714,747,False,False,337.202,3731,bot
True,False,37283,179,801,True,False,2.433,2306,human
True,False,1612,25,0,False,False,0.811,2863,bot
True,False,44693,163,360,False,False,3.932,2862,human
True,False,6,16,0,False,False,0.04,3432,human
True,False,3,6,4,False,False,0.903,3152,bot
True,False,14171,460,505,True,False,0.516,4670,human
True,False,414,57,1149,False,False,0.174,2557,bot
False,False,12739,227315,848,False,True,2.202,4397,human
True,False,70,0,0,False,False,0.136,1445,human
True,False,57,0,0,False,False,0.099,1445,human
False,False,505,42,90,True,False,2.943,3440,human
False,False,101650,60205,7262,True,False,82.777,3237,human
True,False,25,5,0,False,False,0.158,1155,bot
True,False,16,1038871,242,False,False,2.054,3505,human
True,False,2760,54,302,True,False,0.972,3496,bot
True,False,76,33,801,True,False,0.054,2838,bot
False,False,773,880564,220,True,True,1.401,2848,human
True,False,2037,6,32,False,False,2.152,1359,bot
True,False,649,27,0,False,False,1.028,1348,human
False,False,1080,117343,19119,True,False,14.257,3493,human
False,False,3765,1546728,4477,True,True,32.652,4135,human
False,False,2534,217,310,True,False,1.674,3105,bot
False,False,32751,133385,27616,True,True,6.78,4129,human
False,False,2094,233897,270,True,False,4.38,4067,human
True,False,594,60,168,False,False,0.214,3995,human
True,False,1296,20,922,False,False,0.502,3802,bot
False,False,2376,86,414,True,False,1.106,3555,bot
False,False,4704,1387185,2347,True,True,4.072,3538,human
True,False,29,1104391,33,True,True,0.117,2069,human
False,False,2451,475,329,True,False,5.642,4073,bot
False,False,8825,220,797,True,False,0.458,2878,human
False,False,741,13286,364,True,False,0.871,4215,human
True,False,245,10,0,False,False,0.015,2402,bot
True,False,181,640139,1395,True,True,14.36,2998,human
False,False,1292,1480816,21186,True,False,319.79,3739,human
True,False,2241,11,0,False,False,2.24,1379,bot
True,False,326,0,0,False,False,0.463,1427,human
True,False,6512,2173,322,True,False,0.947,2468,human
True,True,26,1,0,False,False,0.009,2864,bot
False,False,4625,135,0,False,False,2.109,2259,human
False,False,2230,101191,570,True,True,16.98,3702,human
True,False,18317,729,663,True,False,1.548,2589,human
False,False,329,6,0,False,False,0.119,3658,bot
True,False,511,454,57,True,False,1.937,2980,human
False,False,2345,298,0,False,False,3.093,3263,bot
False,False,337,189,151,False,False,0.17,1902,human
False,False,20321,3198,1375,True,False,1.498,3842,human
False,False,2001,63,89,False,False,0.653,2924,human
False,False,7944,130,124,True,False,1.67,3356,human
True,False,2156,64,404,False,False,1.319,2212,bot
False,False,3924,2530,1028,False,True,3.126,4205,human
False,False,479,921902,192,True,True,1.851,3969,human
False,False,15878,722,438,True,False,5.039,2525,human
False,False,620,1570295,243,True,True,1.368,3890,human
False,False,2100,15,0,False,False,0.607,4845,bot
False,False,6552,3107,935,True,True,3.322,2546,human
True,False,28265,1669,686,True,False,14.798,2494,human
True,True,7,3,0,False,False,0.003,3200,bot
False,False,451,961,830,False,False,64.582,4121,bot
False,False,1217,731943,1543,True,True,11.034,3563,human
True,False,17,1,0,False,False,0.115,1232,bot
True,False,34701,52336,1188,True,False,4.17,3875,human
True,True,101,3,0,False,False,0.05,2274,bot
True,False,3219,184,1424,True,False,5.892,1543,human
True,False,0,19,0,False,False,11.769,1404,bot
True,False,67588,3327,4999,True,False,39.876,1265,bot
False,False,47970,25279,25679,False,False,26.212,1614,human
True,False,782,72,314,False,False,0.132,1411,bot
False,False,34962,225,880,False,False,6.365,1352,human
True,False,12710,82,207,False,False,2.655,1306,human
False,False,1519,3699,1981,True,False,4.787,3861,human
True,False,5456,141,2,True,False,4.273,1554,bot
False,False,2508,1317958,354,True,True,2.431,3865,human
True,False,1332,11,31,False,False,0.921,1446,bot
True,False,3132,289,1560,True,False,1.713,3927,human
False,False,14,1273320,670,True,True,9.787,4154,human
False,False,3783,856548,1537,True,False,8.88,4120,human
False,False,29383,462919,1355,True,True,16.655,4015,human
False,False,5831,1563,1912,True,False,9.377,4464,human
False,False,2202,10,8,False,False,0.88,3401,bot
False,False,30377,105389,757,True,True,8.099,4131,human
False,False,2429,102,0,True,False,1.398,3422,bot
True,False,452,28,63,False,False,0.017,3346,bot
True,False,1464,50,0,False,False,0.596,3590,bot
True,False,132,0,0,False,False,0.201,1247,human
False,False,18559,177,852,False,False,2.156,2326,human
True,False,0,24,0,True,False,0.901,3475,bot
True,False,95,9,0,False,False,0.037,3632,bot
True,False,25834,403,994,False,False,10.168,2434,human
False,False,35386,1381,1095,True,False,27.578,2721,human
False,False,52,251,0,False,False,0.187,4277,human
False,False,2926,2494,2395,False,False,2.915,3820,human
False,False,5098,1096856,1536,True,True,2.506,4108,human
False,False,302,1808775,224,True,True,0.29,3507,human
True,False,7339,110,48,False,False,8.899,1608,bot
False,False,2308,14,23,False,False,1.898,1676,bot
False,False,1159,1103,1720,True,False,0.83,4116,bot
False,False,1185,10,0,False,False,0.565,2245,bot
False,False,841,78,312,True,False,0.452,3481,human
True,False,219,4,44,False,False,0.225,1148,bot
True,False,89,0,0,False,False,0.169,1103,human
False,False,2,1538905,2935,False,True,285.091,3742,bot
False,False,74396,1265,922,True,False,30.35,3191,human
False,False,2841,895,168,True,False,2.714,3520,bot
False,False,37761,1413,3358,True,False,8.303,3385,human
True,False,52,0,0,False,False,0.088,1418,human
True,False,80,2,0,False,False,0.138,1445,human
True,False,29933,1374873,832935,True,True,17.074,3213,bot
False,False,209,807,689,True,False,15.924,4172,human
True,False,22,1,0,False,False,0.194,1155,bot
False,False,2457,288,439,True,False,13.254,3452,human
False,False,12738,1689,2229,True,False,51.594,3268,human
True,False,30,3,727,False,False,0.235,1250,human
False,False,4359,105,310,False,False,2.164,4208,human
False,False,22081,899,444,True,False,8.536,1874,human
False,False,2968,316,220,True,False,3.241,4124,human
True,False,18,0,0,False,False,0.149,1155,bot
False,False,1180,138654,2344,True,True,18.768,4244,human
True,False,571383,14645,7827,True,False,233.21,2395,bot
False,False,14410,1685,666,True,False,7.05,4864,human
False,False,66702,829,1865,True,False,8.348,4592,human
True,False,112819,593,941,True,False,5.365,3660,human
False,False,5586,3415949,798,True,True,6.164,4167,human
False,False,45045,1818,999,True,False,10.238,2912,human
False,False,101,520347,109,True,False,1.535,3210,human
True,False,10749,463,57,False,False,9.863,1667,human
False,False,6005,5196,468,True,True,9.609,3056,human
True,False,1126,18,0,False,False,0.521,3135,bot
False,False,1365,5,1,False,False,0.518,3846,bot
False,False,2064,54364,226,True,True,2.005,4205,human
True,False,2078,36,46,False,False,0.56,4189,bot
True,False,1246,51,871,False,False,0.605,1835,human
False,False,32865,206294,458,True,True,4.841,3420,human
False,False,6725,2544,1984,False,True,6.896,2853,human
False,False,13713,165,619,True,False,5.3,2296,human
False,False,4212,77789,90500,True,False,7.68,2866,human
False,False,43836,594,555,True,False,7.98,3004,human
True,False,65,4,0,False,False,0.005,4040,bot
False,False,1350,2612269,0,False,True,0.111,4104,human
False,False,6013,649266,898,True,False,1.808,3996,human
False,False,14476,207,468,True,False,1.656,4084,human
False,False,23464,2237,1423,True,False,3.191,4215,human
True,False,3850,390,0,True,False,7.929,3297,bot
True,False,1425,18,0,False,False,1.197,1848,bot
True,False,3716,336,226,False,False,1.537,1394,human
True,False,1047,6,76,False,False,1.161,1358,bot
False,False,57974,655,602,False,False,11.584,1985,human
False,False,23,4902555,26,False,True,0.779,3806,human
True,False,1444,8789,721,True,False,1.428,4220,human
False,False,7125,180,588,True,False,0.626,4125,human
True,False,118,0,0,False,False,0.143,1359,human
False,False,231,242,649,True,False,0.726,4397,human
True,False,1,41478966,24,False,True,11.342,3781,human
True,False,67,0,0,False,False,0.102,1444,human
False,False,56,3,0,False,False,0.032,3534,bot
False,False,7417,818,491,True,False,9.659,3199,human
False,False,570,103,168,False,False,0.473,4093,human
True,False,406,4,28,True,False,0.166,3665,bot
False,False,6862,72461,10108,False,False,8.352,3143,human
False,False,3509,93,1024,False,False,0.437,2380,human
False,False,244,380,355,False,True,0.28,3924,human
True,False,1438,2,25,False,False,0.776,2622,bot
True,False,432,14280,687,True,True,1.299,3692,human
False,False,514,24378,867,True,True,14.851,3419,human
False,False,18154,1273,765,False,False,16.707,3482,human
False,False,5062,57,411,False,False,0.253,3535,human
False,False,8730,123,603,True,False,0.92,4001,human
False,False,1579,132,154,False,False,1.006,2904,human
True,False,3811,564,1185,True,False,1.773,2963,human
False,False,11791,460,119,False,False,2.175,3302,human
True,False,712,11,0,True,False,0.322,3170,bot
False,False,1816,117,0,False,False,0.695,4036,human
False,False,6,85,128,False,False,1.457,3995,bot
False,False,838,1934,479,False,False,30.92,2731,human
True,False,1786,134,383,False,False,0.308,1848,human
False,False,1362,18,346,True,False,0.591,2946,bot
True,False,587,8,21,False,False,0.437,1667,bot
False,False,66356,62501,3390,True,True,16.346,4179,human
False,False,44286,3919,925,True,False,1.68,4256,human
False,False,1084,479,487,True,False,1.164,3227,human
True,False,997,10,88,False,False,0.43,3364,bot
True,False,6284,365,208,False,False,2.652,1494,human
False,False,358,2474426,206,False,True,1.254,3446,human
False,False,23440,53173,6,False,False,74.484,2365,bot
False,False,1025,10,38,False,False,0.841,1718,bot
True,False,203,0,0,False,False,0.292,1444,human
False,False,27334,324,289,True,False,1.57,2727,human
False,False,22,261,0,False,False,0.249,3875,human
False,False,92,1370342,693,False,True,3.077,4172,human
False,False,80,242,528,True,False,2.272,4085,human
True,False,1542,5,26,False,False,0.583,3781,bot
True,False,29,0,0,False,False,0.186,1159,bot
False,False,3002,203635,2264,True,True,3.843,4136,human
False,False,81,2092901,513,True,True,32.183,4267,bot
True,False,2202,37,0,False,False,0.962,3251,bot
True,False,43310,756,415,True,False,22.714,2911,human
False,False,1831,42,210,False,False,0.927,4119,human
True,True,57,3,0,False,False,0.027,3477,human
False,False,14232,1197,1471,True,False,4.028,2234,human
False,False,26270,750,227,True,False,7.963,4027,human
False,False,4170,6796,6919,False,False,0.478,4202,human
True,False,777,84406,430,True,True,2.108,3118,human
False,False,28610,1073472,8709,True,False,21.296,3312,human
True,False,3,103,110,False,False,0.018,2202,human
True,False,829,53,0,False,False,0.058,2477,bot
True,False,1663,10,0,False,False,0.833,2808,bot
False,False,2262,1835470,460,False,True,2.71,3839,human
False,False,13226,1013,33,False,False,0.505,1452,human
True,False,59,1,0,False,False,0.241,1159,bot
False,False,46259,1535,239,False,False,6.909,2173,human
False,False,21165,377,536,False,False,2.467,4065,human
False,False,754,30457,454,False,False,1.759,4231,human
False,False,6002,76,1681,True,False,0.181,3119,human
True,False,10079,559,802,True,False,10.711,2485,bot
True,False,54,3,19,False,False,11.728,1762,bot
True,False,3025,111,521,False,False,1.592,4506,human
True,False,2183,636,949,True,False,4.342,3066,human
True,False,27962,859,882,True,False,11.994,2272,human
False,False,8015,1368076,204,True,True,29.58,4002,bot
False,False,1704,3912094,507,False,True,2.994,3724,human
True,False,5282,18,636,False,False,0.815,1614,human
False,False,17,1898901,1043,False,False,42.312,4160,human
True,False,346,0,0,False,False,0.245,1412,bot
False,False,2191,23,319,False,False,1.245,2304,bot
True,False,1125,25,34,False,False,0.501,3045,bot
False,False,10947,154,303,True,False,2.275,3926,human
True,False,62,1,0,False,False,0.121,1445,human
False,False,3116,1001,259,True,False,0.693,3522,bot
False,False,63469,1828,1689,True,False,24.104,1950,human
False,False,330,815909,397,False,True,0.129,3395,human
False,False,50672,611,2011,True,False,1.645,2659,human
False,False,1166,31,68,False,False,0.735,3383,human
False,False,1589,9,0,False,False,0.576,3909,bot
False,False,4146,64,146,False,False,1.095,3813,bot
True,False,987,14,88,False,False,0.345,4158,bot
True,False,35343,2952,401,False,True,2.697,4121,human
False,False,514,948,931,False,False,0.275,2458,bot
False,False,17666,280,1103,True,False,2.867,2955,human
False,False,3302,1289138,664,True,True,7.956,3374,human
False,False,1487,302,500,False,False,0.925,3288,human
False,False,7267,1812,947,True,False,3.866,2310,human
False,False,1189,755557,240,True,True,1.93,4148,human
False,False,514,6561,44,True,False,0.858,2261,human
True,False,47826,544,478,True,False,6.55,2690,bot
False,False,3032,358972,2061,False,True,2.593,3854,human
True,False,2458,88,0,False,False,1.032,3343,bot
True,False,16,9,55,False,False,0.008,2035,bot
False,False,2201,1482265,367,True,True,1.279,4045,human
False,False,43082,408,620,False,False,5.397,4299,human
False,False,1743,1303194,958,False,True,3.415,4175,human
True,False,0,772,1106,False,False,24.189,2978,bot
False,False,0,738,677,False,False,1062.034,2610,bot
False,False,3318,103,290,True,False,1.352,3355,human
False,False,50895,309,646,False,False,5.679,3580,human
False,False,3851,896181,785,True,True,0.978,3965,human
False,False,1619,18,0,False,False,0.634,3735,bot
False,False,6656,591,637,True,False,6.944,2964,bot
True,False,90,0,0,False,False,0.138,1445,human
False,False,2863,167,243,False,False,0.474,4168,human
True,False,2467,195,206,False,False,0.801,3017,bot
False,False,3497,8451,660,True,False,1.201,2953,bot
True,False,154,5,0,True,False,0.014,2328,bot
True,False,2214,20,61,False,False,0.915,3275,bot
True,True,126,6,0,False,False,0.028,3489,bot
True,False,2252,90,560,False,False,1.699,1888,bot
True,True,130,16,127,False,False,0.014,2523,bot
True,False,39226,1396,1832,True,False,25.624,2197,human
False,False,5808,2999,3789,True,False,3.079,2883,human
False,False,2399,6,12,False,False,1.018,3245,bot
True,False,2234,34,0,False,False,0.994,3384,bot
False,False,44,79,0,False,False,0.104,3059,human
True,False,9171,2436,1052,True,True,1.783,3101,human
True,False,56,0,0,False,False,0.277,1159,bot
True,False,226,5,0,False,False,0.018,2742,bot
False,False,2116,59,252,True,False,0.697,4208,bot
False,False,52032,69871,5422,False,True,50.329,4803,human
True,False,4134,221,350,True,False,1.211,3255,human
True,False,332,317,488,False,False,0.199,1922,bot
True,False,2352,0,69,False,False,2.356,1379,bot
False,False,1478,10,61,False,False,0.578,3708,bot
True,False,2368,19,0,False,False,1.186,2720,bot
False,False,12523,254,268,True,False,2.624,2258,human
False,False,2148,59,79,False,False,0.816,3878,bot
True,False,1524,170,179,True,False,0.53,2386,human
False,False,0,3388,41,False,False,792.0,2493,bot
True,False,142,0,0,False,False,0.262,1118,human
True,False,9525,66,972,False,False,1.112,3059,bot
True,False,1257,146,746,False,False,3.741,2161,human
